"Neighborhood","Neighborhood Latitude","Neighborhood Longitude","Venue","Venue Latitude","Venue Longitude","Venue Category"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Tim Hortons","43.687682","-79.39684","Coffee Shop"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Scallywags","43.687981749962695","-79.39467568457059","Pub"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Raiders E-Sports Centre","43.687682915990386","-79.39594439646025","Sports Bar"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Fionn MacCool's","43.68792137317272","-79.39478325313542","Pub"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Popeyes Louisiana Kitchen","43.6893","-79.395302","Fried Chicken Joint"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Mac's","43.68753413211594","-79.39797878265381","Convenience Store"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Pizzaiolo","43.68799051263145","-79.39463424218918","Pizza Place"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Sprout","43.687995609133544","-79.39465149552744","Vietnamese Restaurant"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","TTC Stop #","43.6858256","-79.40498099","Light Rail Station"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Kiva's","43.687983764255456","-79.39471505267664","Bagel Shop"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Nathan Phillips Square","43.65227047322295","-79.38351631164551","Plaza"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Four Seasons Centre for the Performing Arts","43.65060862138792","-79.38627956459021","Concert Hall"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","The Keg Steakhouse & Bar","43.649937252985254","-79.38419604942506","Steakhouse"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Estiatorio Volos","43.65032912559998","-79.38453301297716","Greek Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Shangri-La Toronto","43.64912919417502","-79.3865566853963","Hotel"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Assembly Chef's Hall","43.650578865093934","-79.3834119303614","Food Court"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Hy's Steakhouse","43.649504756476944","-79.38291850488223","Steakhouse"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Momofuku Noodle Bar","43.6493658716176","-79.38621652451032","Noodle House"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Soho House Toronto","43.64873430659662","-79.38654117564838","Speakeasy"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Adelaide Club Toronto","43.64927944291712","-79.38192123284551","Gym / Fitness Center"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","M Square Coffee Co","43.65121797253777","-79.38355459932247","Coffee Shop"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Bosk at Shangri-La","43.649022736761516","-79.38582635521233","Asian Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Lobby Lounge at the Shangri-La Toronto","43.64915499986854","-79.38654574367817","Lounge"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Downtown Toronto","43.65323167517444","-79.38529600606677","Neighborhood"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","John & Sons Oyster House","43.65065642537144","-79.38161285228475","Seafood Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Pizzeria Libretto","43.64833354686235","-79.38511050184168","Pizza Place"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Boxcar Social Temperance","43.65055725249405","-79.38195634640063","Bar"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Ruth's Chris Steak House","43.6499174","-79.3857238","Steakhouse"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","JaBistro","43.64968685893743","-79.38809001547467","Sushi Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Hilton Toronto","43.64985232228859","-79.38557624816895","Hotel"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Canadian Opera Company","43.6506601893789","-79.38624169559013","Opera House"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Old City Hall","43.652008800876125","-79.3817442232328","Monument / Landmark"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Cactus Club Cafe","43.6495520142626","-79.38167072512041","American Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Toronto PATH System","43.64990340698978","-79.3830527039004","General Travel"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Friendly Stranger - Cannabis Culture Shop","43.650386666114635","-79.38852348995324","Smoke Shop"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","The Gabardine","43.65098801064232","-79.38122513218154","American Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","King Taps","43.648475974183","-79.38205778358744","Gastropub"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Nota Bene","43.6505120350372","-79.38813081159722","American Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Sam James Coffee Bar (SJCB)","43.64788137014028","-79.38433152836829","Café"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Noodle King","43.65170632794881","-79.38304628912547","Asian Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Maman","43.64830873804684","-79.38225333898805","Café"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Rosalinda","43.650292","-79.385139","Vegetarian / Vegan Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Fune Japanese Restaurant","43.64851365544565","-79.38645657820041","Japanese Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Hilton Toronto Executive Lounge","43.650363125865155","-79.38580184119992","Breakfast Spot"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","The Burger's Priest","43.648476440165176","-79.38737257506915","Burger Joint"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Eggspectation Bell Trinity Square","43.65314383888587","-79.38198016678167","Breakfast Spot"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Momofuku Nikai","43.649464332475084","-79.38600545809963","Cocktail Bar"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Pumpernickel's Deli","43.64883150054619","-79.38197006345457","Deli / Bodega"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Burrito Boyz","43.6484455955513","-79.3879951787513","Burrito Place"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","The Rex Hotel Jazz & Blues Bar","43.65050475544005","-79.38857723389897","Jazz Club"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Bannock","43.652101173138405","-79.38117828399939","Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Cafe Landwer","43.648811","-79.385217","Café"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Pilot Coffee Roasters","43.648835391245896","-79.3809358125033","Coffee Shop"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Earls Kitchen & Bar","43.647923453007955","-79.38378948070567","Bar"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Reds Wine Tavern","43.64957038171473","-79.38212873483711","Gastropub"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Copacabana Grilled Brazilian","43.64833259480477","-79.3881514766071","Brazilian Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Starbucks","43.65071767190139","-79.3875952564609","Coffee Shop"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Pai","43.64792310735613","-79.38857932631602","Thai Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Canoe","43.647452066183476","-79.38132001815676","Restaurant"
"Adelaide, King, Richmond","43.65057120000001","-79.3845675","Richmond Station","43.65156872562108","-79.37926594000328","American Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Canoe","43.647452066183476","-79.38132001815676","Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Equinox Bay Street","43.64809974034856","-79.37998869411526","Gym"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Walrus Pub & Beer Hall","43.64737470920577","-79.37951515363918","Pub"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Adelaide Club Toronto","43.64927944291712","-79.38192123284551","Gym / Fitness Center"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Mos Mos Coffee","43.64815919753501","-79.37874450467258","Café"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","King Taps","43.648475974183","-79.38205778358744","Gastropub"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Hockey Hall Of Fame (Hockey Hall of Fame)","43.646974451431056","-79.37732323942681","Museum"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Maman","43.64830873804684","-79.38225333898805","Café"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Pilot Coffee Roasters","43.648835391245896","-79.3809358125033","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Beerbistro","43.64941904378835","-79.37723726034164","Gastropub"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Ki Modern Japanese + Bar","43.64710349021134","-79.37938978621831","Japanese Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Brick Street Bakery","43.6488151631615","-79.38060468610949","Bakery"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Dineen Coffee","43.650497","-79.378765","Café"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Cactus Club Cafe","43.6495520142626","-79.38167072512041","American Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Design Exchange","43.64797219581623","-79.38010382588462","Art Gallery"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Olly Fresco's","43.646912231909276","-79.37959661696463","Deli / Bodega"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Pumpernickel's Deli","43.64883150054619","-79.38197006345457","Deli / Bodega"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Cosmopolitan Toronto Centre Hotel & Spa","43.64906432957466","-79.37759759701125","Hotel"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Movenpick Cafe","43.647686808930885","-79.3772953884033","Café"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Café Plenty","43.6491179354577","-79.37831288380438","Café"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Marché Restaurant","43.64723237089591","-79.37759119081164","Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","DAVIDsTEA","43.646657736285796","-79.37764102856944","Tea Room"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","deKEFIR","43.65043319523819","-79.37939324949957","Ice Cream Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Bymark","43.647217284018005","-79.38125188166379","Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","McEwan Foods","43.64716011126396","-79.38104402548048","Deli / Bodega"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Hy's Steakhouse","43.649504756476944","-79.38291850488223","Steakhouse"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","One King West Hotel & Residence","43.648947108832736","-79.37796622050357","Hotel"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","The Fairmont Royal York","43.64544914616651","-79.3815076529019","Hotel"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","GoodLife Fitness Toronto 137 Yonge Street","43.65113563166627","-79.37879687835455","Gym"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","The Chase","43.650951982093595","-79.37942201983014","New American Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Starbucks","43.646957445443654","-79.37826461143065","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Starbucks","43.649385825065345","-79.37809348357672","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","John & Sons Oyster House","43.65065642537144","-79.38161285228475","Seafood Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Richmond Station","43.65156872562108","-79.37926594000328","American Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Brookfield Place","43.646790641203026","-79.37876938530562","Shopping Mall"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Starbucks","43.647192603955325","-79.38095685671752","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Pilot Coffee Roasters","43.64501814464698","-79.3804150931199","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Dineen @CommerceCourt","43.648250543365556","-79.38012728220869","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Kupfert & Kim (First Canadian Place)","43.64854659465186","-79.38162406470161","Gluten-free Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","The Omni King Edward Hotel","43.64919051601911","-79.37600612640387","Hotel"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","The Gabardine","43.65098801064232","-79.38122513218154","American Restaurant"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Starbucks","43.650420650855466","-79.37820212176874","Coffee Shop"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Indigospirit","43.64834987590252","-79.38034747310336","Bookstore"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Boxcar Social Temperance","43.65055725249405","-79.38195634640063","Bar"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Petit Four Bakery","43.647743692587085","-79.37958814250598","Sandwich Place"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","The National Club","43.64934259283233","-79.3805735731846","Wine Bar"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Craft Beer Market","43.6498722789121","-79.37839828995996","Beer Bar"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Over Easy","43.64807704204346","-79.37759871575396","Breakfast Spot"
"Commerce Court, Victoria Hotel","43.6481985","-79.37981690000002","Sam James Coffee Bar (SJCB)","43.64788137014028","-79.38433152836829","Café"
